_unit_id;_canary;_unit_state;_trusted_judgments;_last_judgment_at;what_emotion_does_the_author_express_specifically_about_the_weather;what_emotion_does_the_author_express_specifically_about_the_weather:confidence;gold_answer;tweet_id;tweet_text
314960380;;finalized;20;8/24/13 0:21;Positive;0.8439;;81990560;Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.
314960381;;finalized;20;8/24/13 0:49;Negative;0.6963;;84314377;The slowest day ever !! And the weather makes it even worse !
314960382;;finalized;20;8/24/13 0:55;Neutral / author is just sharing information;0.8802;;82846118;Fire Weather Watch issued May 17 at 4:21PM CDT expiring May 19 at 9:00PM CDT by NWS Lubbock... 
314960383;;finalized;20;8/24/13 0:48;Positive;0.6897;;82843785;Im going to lunch early today.   The weather is nice outside so Im going to enjoy #metime somewhere pleasant :)
314960384;;finalized;20;8/24/13 1:19;Neutral / author is just sharing information;0.6153;;82840144;Weekend Weather Causes Delays In I-270 Bridge Work  
314960385;;finalized;20;8/24/13 0:27;Positive;0.6365;;82510997;Passing out now.  working tonight. Storms today would be nice. Would be great sleeping weather. Mmmm
314960386;;finalized;20;8/24/13 0:36;Neutral / author is just sharing information;0.5582;;84313352;US GAS: Warm-Weather Forecasts Lift Natural Gas Futures 
314960387;;finalized;20;8/24/13 0:40;Negative;0.4132;;81211801; s friday at 6 at tha stadium ...if tha weather bad its gone be in tha gym at 3
314960388;;finalized;20;8/24/13 1:11;Negative;0.7987;;82852809;I hate this weather. Good day for a movie marathon though... Xmen! :D
314960389;;finalized;20;8/24/13 0:39;Positive;0.5695;;79194811;TGif biatches! Here's to a sunny Friday regardless of rain and drama! #popularnameregardlessofparticipation
314960390;;finalized;20;8/24/13 0:39;Negative;0.9103;;82518322; good crowd in Wrigley today, terrible weather. tell that redneck that just called in 2 check the Reds crowd on a Wed. day game
314960391;;finalized;20;8/24/13 0:40;Tweet not related to weather condition;0.5048;;83271279;" "The storm is only that which authenticates your path" -- "
314960392;;finalized;20;8/24/13 0:41;Negative;0.6108;;83269583;in the house washing clothes on this rainy day #BORED
314960393;;finalized;20;8/24/13 0:46;Neutral / author is just sharing information;0.8655;;81996997;#WEATHER:  2:53 pm : 57.0F. Feels 56F. 30.10% Humidity. 6.9MPH Northwest Wind.
314960394;;finalized;20;8/24/13 0:34;Negative;0.6533;;83257336;Freezing cold Like always whoo buddy excited for tonight let's go #11in11
314960395;;finalized;20;8/24/13 1:15;Neutral / author is just sharing information;0.7387;;84319228;...SHOWERS AND THUNDERSTORMS MOVING SLOWLY OVER THE AREA... AN AREA OF RAIN WITH EMBEDDED THUNDERSTORMS WILL DRIFT SLOW 
314960396;;finalized;20;8/24/13 0:32;Positive;0.9293;;80058872;It is hot out here but it feels great
314960397;;finalized;20;8/24/13 0:39;Tweet not related to weather condition;0.7333;;82844735;" the software queries say two-three ""link degrees"" of the articles. (ie James Burke has the link Science Historian which has...)"
314960398;;finalized;20;8/24/13 0:20;Negative;0.4299;;82849272; Need that warm weather to come back
314960399;;finalized;20;8/24/13 0:23;Negative;0.5476;;82518158;I want the sunshine back, please come back :)
314960400;;finalized;20;8/24/13 0:33;Tweet not related to weather condition;0.6564;;80058809;I can't find a way to delete my iWitness Weather account but at least I've deleted ALL my photos on the site. (1 of which had 3K + views)
314960401;;finalized;20;8/24/13 0:53;Neutral / author is just sharing information;0.8497;;79188429;Record LOW humidity in Phoenix today:  
314960402;;finalized;20;8/24/13 0:33;Negative;0.5621;;83256679; If this is what Seattle is like, I'm not surprised somebody killed Rosie Larsen. Everybody must be surly. #TheKilling #Rain
314960403;;finalized;20;8/24/13 0:45;Negative;0.6511;;82512093; ditto I should have worn shorts today! Hello humidity!
314960404;;finalized;20;8/24/13 0:44;Positive;0.7563;;82838136; oh nice! We're all the way here in sunny Burbank California!
314960405;;finalized;20;8/24/13 1:11;Neutral / author is just sharing information;0.4395;;82513588; no, normal pajamas. it's not that cold out!
314960406;;finalized;20;8/24/13 0:06;Neutral / author is just sharing information;0.6925;;84321017; Is any part of this storm system going to make it across the mountains/in to NC & SC?
314960407;;finalized;20;8/24/13 0:38;Tweet not related to weather condition;0.841;;82680080; cherry slush
314960408;;finalized;20;8/24/13 0:27;Negative;0.53;;84050466;it's hot  as #Truck outside
314960409;;finalized;20;8/24/13 0:33;Neutral / author is just sharing information;0.6946;;83257196;WZTV FOX17 :: Weather 
314960410;;finalized;20;8/24/13 1:11;Tweet not related to weather condition;0.6876;;81174165; Tim Minchin Storm' rant animated using Adobe After Effects, Flash, Photoshop & a Wacom Cintiq - 
314960411;;finalized;20;8/24/13 0:45;Positive;0.7159;;82512145;Hi from sunny Boston. Weather is fine, wish you were here... (@ Joe's American Bar & Grill w/ 2 others) 
314960412;;finalized;20;8/24/13 0:28;Tweet not related to weather condition;0.6355;;84034760;"I can't wait until tomorrow night so that when I'm still alive, I'll tweet up a storm, ""world ends on Saturday"" my ass"
314960413;;finalized;20;8/24/13 0:55;Negative;0.4882;;82510259;In Florida, the hotter it is outside, the colder it is inside. Freezing at my desk today.
314960414;;finalized;20;8/24/13 0:42;Tweet not related to weather condition;0.5628;;81996938; Bonjour Snow Patrol are great but getting samey. Try this! What do u think?  
314960415;;finalized;20;8/24/13 0:28;Tweet not related to weather condition;0.5242;;82852542;"""Oh rainy day, come 'round. Sometimes I just want it to slow down."" #coldplay"
314960416;;finalized;20;8/24/13 0:34;Neutral / author is just sharing information;0.4;;83258314; yeah, i'm talking, you see these pics of the river up on the rocks, as opposed to storm conditions
314960417;;finalized;20;8/24/13 0:50;Positive;0.5658;;82510755; Looking forward to your show tonight in Salt Lake City. The weather is supposed to be great. Hopefully you'll toss me a pick
314960418;;finalized;20;8/24/13 0:51;Neutral / author is just sharing information;0.4937;;79197691;Just arrived at Garrett- 55 degrees- going to be a cool night.
314960419;;finalized;20;8/24/13 0:19;Neutral / author is just sharing information;0.8468;;82676609; Strongest storm now crossing Natcher Parkway south of Masonville & moving into northern Ohio County. #tristatewx
314960420;;finalized;20;8/24/13 0:32;Positive;0.8027;;83270141; We can finally compete with your weather in FL! Sunny & 70 here in Chicago today!
314960421;;finalized;20;8/24/13 0:35;Neutral / author is just sharing information;0.4114;;80059799;I'm gonna take a bath and read. I planned to make pasta puttanesca for dinner, but the weather is making me want Chipotle Chicken Chowder.
314960422;;finalized;20;8/24/13 0:48;Tweet not related to weather condition;0.5682;;80052652;For details about 2 Person Hot Tubs check out his latest web site about Hot Tub Chemicals. Posted in Spa and Med... 
314960423;;finalized;20;8/24/13 0:38;Neutral / author is just sharing information;0.8541;;84305051;Thunderstorm Light Drizzle in Vicinity and 68 F at Jacksonville Municipal Airport, IL Winds are from the South at 13.8  
314960424;;finalized;20;8/24/13 0:28;Positive;1;;82512461;. & I just finished an hour jog on the Bosque. A little windy, but otherwise a beautiful day. It's about time! C'mon SUMMER!
314960425;;finalized;20;8/24/13 0:11;Negative;0.7946;;83268638;eww its 81% humidity  today :I
314960426;;finalized;20;8/24/13 0:55;Positive;0.4306;;79189357;"Nothing says ""Happy Cinco de Mayo!"" like an AP test and a rainy day. #fail"
314960427;;finalized;20;8/24/13 0:42;Negative;0.5743;;84311599; storm? Be safe! The weather has been crazy lately!
314960428;;finalized;20;8/24/13 0:31;Negative;0.8265;;83270494;Its super awful here in OK, the weather is soo moody.
314960429;;finalized;20;8/24/13 0:27;Tweet not related to weather condition;0.5082;;84320333;If you got on walmart snow boots in yo twitcon #sityoassdown. You are not badd.
314960430;;finalized;20;8/24/13 0:25;Neutral / author is just sharing information;0.829;;83257167;Severe Thunderstorm Warning issued May 19 at 3:40PM MDT expiring May 19 at 4:30PM MDT by NWS Boulder .... 
314960431;;finalized;20;8/24/13 0:42;Positive;0.6462;;84314754;Catch The Fish Folks tomorrow at the Weds Downtown Farmers' Market 4-7.  Weather will be great - Copper River Sockeye salmon at great...
314960432;;finalized;20;8/24/13 0:35;Neutral / author is just sharing information;0.6608;;84312699;Tornado season really is nvr over. If its a severe thunderstorm, a tornado can form   How long is (cont) 
314960433;;finalized;20;8/24/13 0:21;Tweet not related to weather condition;0.6328;;79187315;   it's just something to do and really storm? You don't know what a wet dream?
314960434;;finalized;20;8/24/13 0:28;Negative;0.796;;84034743;It's fuckin hot out
314960435;;finalized;20;8/24/13 0:36;Tweet not related to weather condition;0.5461;;84319723;After being told no pink for decades USDA now says cooked pork can be pink, @ 145 degrees not 160. Next will they admit alien UFO's are real
314960436;;finalized;20;8/24/13 0:35;Tweet not related to weather condition;0.4097;;83259244;Sunshine parks and new hair scarves make life not so bad when  stays up all night.
314960437;;finalized;20;8/24/13 1:01;Negative;0.5626;;82681854;#Today's #Cubs-#Giants game has been postponed due to the forecast for inclement weather & poor conditions throughout the day.
314960438;;finalized;20;8/24/13 0:13;Neutral / author is just sharing information;0.7497;;84047815; Severe Thunderstorm Warning for Dakota, Goodhue, Rice and Steele County in MN until 2:30pm. More:  & o ...
314960439;;finalized;20;8/24/13 0:40;Neutral / author is just sharing information;0.8244;;82838018;#WEATHER:  3:53 am : 57.0F. Feels 55F. 29.98% Humidity. 10.4MPH North Wind.
314960440;;finalized;20;8/24/13 0:41;Neutral / author is just sharing information;0.7973;;81178003;Clouds & Showers East, Sunny & Dry Elsewhere 
314960441;;finalized;20;8/24/13 1:01;Positive;0.7906;;83268482; This kind of weather makes me want to go swimming.
314960442;;finalized;20;8/24/13 0:42;Tweet not related to weather condition;0.4416;;84308663;Blog Post: The Weather Man is Killling Golf! - 
314960443;;finalized;20;8/24/13 0:46;Positive;0.8484;;82841006;Mmmmmm warm sunny afternoon on a patio! (@ The Tavern Tech Center) 
314960444;;finalized;20;8/24/13 0:30;Positive;0.8734;;83257925;it's a nice day in LA. sunny :)
314960445;;finalized;20;8/24/13 0:42;Tweet not related to weather condition;0.5959;;80059175;Rainy Summer featured my #vintage shoes  via 
314960446;;finalized;20;8/24/13 0:44;Positive;0.6603;;81995233;" delicious! Lol I have been waiting for this 70 degrees for oh...8 months! No joke. I've been out being a real ""dirty girl"" lol"
314960447;;finalized;20;8/24/13 1:11;Negative;0.6748;;81170146;It's 66 fucking degrees muthafucker it's hot... Time to get half naked :)
314960448;;finalized;20;8/24/13 0:08;Positive;0.5436;;84313808;It honestly sounds more like Florida weather   never been to Texas to compare. P.S. its sunny again lol
314960449;;finalized;20;8/24/13 0:49;Negative;0.5285;;82679243; Hint: It's windy. Nowhere super fun just yet...
314960450;;finalized;20;8/24/13 0:51;Negative;0.406;;82841658;This cold weather got me ready to lay up wit someone else's girlfriend.. #DontJudgeMe
314960451;;finalized;20;8/24/13 0:34;Positive;0.4842;;84319101; At least it ain't snow!
314960452;;finalized;20;8/24/13 0:49;Tweet not related to weather condition;0.753;;84311778;I favorited a  video  Keep On The Sunny Side - June Carter Cash
314960453;;finalized;20;8/24/13 0:48;Positive;0.8972;;83256060;Sunshine!
314960454;;finalized;20;8/24/13 0:32;Negative;0.4391;;82678292; Hi Monali! Nice to meet you! I'm SUPER jealous of your profile picture..sure beats the rainy weather in DC!
314960455;;finalized;20;8/24/13 0:35;Negative;0.4704;;82673833;What's with all the rainy weber?
314960456;;finalized;20;8/24/13 1:15;Negative;0.4351;;84312991;Thinking the cloudy super cool weather is making me xtra sleepy 2day
314960457;;finalized;20;8/24/13 0:55;Neutral / author is just sharing information;0.7272;;82681107;LIVE COVERAGE: Weather delays Amgen start until 1:15 pm 
314960458;;finalized;20;8/24/13 0:50;Negative;0.619;;82674634;I am freezing! I wanna cuddle (:
314960459;;finalized;20;8/24/13 0:17;Negative;0.6336;;82845437;""":  awwww sounds sad lol its always hot there so yaw need a break anyway""--that's not fair, I want nice weather lol"
314960460;;finalized;20;8/24/13 0:31;Neutral / author is just sharing information;0.9028;;82844107;Thunderstorms today, high 69 (21 C).
314960461;;finalized;20;8/24/13 0:54;Positive;0.6749;;83267942;"Eat yourheart out too!i'm @ the vacation house.Nice weather&beautiful sight.Nothing like this in SG. ;p   "
314960462;;finalized;20;8/24/13 0:18;Negative;0.5529;;84306382;Probably Bad News: Anything For a Blizzard: Probably Bad News: Anything For a Blizzard Submitted by: Unknown Epi... 
314960463;;finalized;20;8/24/13 0:14;Positive;0.741;;79186190; TC: loved the new Fresh Air (#16). Currently flying to warmer weather and the chilled out beats were perfect. Keep it up!
314960464;;finalized;20;8/24/13 0:32;Neutral / author is just sharing information;0.7257;;81212019; WINTER STORM WARNINGS for CO and MT for SNOW 6 - 12 inches
;;;;;;;;;
"#weather #news #snomg #blizzard #wx""";;;;;;;;;
314960465;;finalized;20;8/24/13 0:48;Positive;0.9598;;83255526;I love the weather in PHX right now!!
314960466;;finalized;20;8/24/13 0:14;Negative;0.7194;;81989508;This weather keeps me under the covers.
314960467;;finalized;20;8/24/13 0:11;Positive;0.5813;;79186749; paid work is all good :0) Hopefully we'll have lots of sunshine for you to enjoy too xx
314960468;;finalized;20;8/24/13 0:53;Positive;0.5751;;81176923; There might be some snow up in the mountains, buh I live in the city so no snow here :)
314960469;;finalized;20;8/24/13 0:23;Negative;0.3222;;80050108; It cld be 4 degrees and yu wld have me outside in shorts, lol... #JustCrazy!
314960470;;finalized;20;8/24/13 0:31;Negative;0.7261;;79189697;Mad windy for no reason
314960471;;finalized;20;8/24/13 0:45;Positive;0.8547;;80056789;Spending the afternoon downtown with the family walking around the Canal and enjoying the beautiful weather #nomorerain
314960472;;finalized;20;8/24/13 0:46;Negative;0.7225;;80059939;It is literally pissing it down in sideways rain. I have nothing to protect me from this monstrous weather.
314960473;;finalized;20;8/24/13 0:50;Tweet not related to weather condition;0.612;;82675594; I gotta say, you are so stunning. I've been working out for the last few months and im trying to get my hot body too xoxo
314960474;;finalized;20;8/24/13 0:42;Neutral / author is just sharing information;0.2967;;82510693;In the Heart of the Summer we Need a Snow Plow !
314960475;;finalized;20;8/24/13 0:54;Tweet not related to weather condition;0.6692;;81172701;6 degrees of separation
314960476;;finalized;20;8/24/13 0:48;Tweet not related to weather condition;0.4298;;81996945; lol at Gary saying it to Storm. Hope the subtitles work for Celebrity Juice at 11pm....
314960477;;finalized;20;8/24/13 0:21;Positive;0.6649;;82839844; I love thunderstorms too but I couldn't stay in bed all day and enjoy it
314960478;;finalized;20;8/24/13 0:34;Negative;0.743;;82516775;It's cold as hell outside and they in the pool kickin it o_O
314960479;;finalized;20;8/24/13 0:19;Neutral / author is just sharing information;0.6278;;82849313;"Check it out!!  I posted 46 photos on Facebook in the album ""Storm Damage"" "
314960480;;finalized;20;8/24/13 1:19;Tweet not related to weather condition;0.4842;;82851968;Um I would like a powerade slush. Thank you.  finna be on this #HappyHour flow at Sonic #yesyes
314960481;;finalized;20;8/24/13 0:38;Negative;0.8943;;79197151;Horrible wet morning.....bring back the sunshine!
314960482;;finalized;20;8/24/13 0:43;Tweet not related to weather condition;0.4702;;81171831;Da thangs I wud do to sunny anderson #sheesh
314960483;;finalized;20;8/24/13 0:55;Negative;0.4816;;81169556; rrrrriiight who yu tellin idk weather to be mad or cry -__-
314960484;;finalized;20;8/24/13 0:52;Neutral / author is just sharing information;0.3735;;84317392;If you're in need of any huge logs or branches, there are plenty floating in the Yellowstone River right now. #rain #flooding #Billings
314960485;;finalized;20;8/24/13 0:44;Neutral / author is just sharing information;0.8713;;82839115;News - Current Conditions : 64.4F, Heavy Thunderstorms and Rain - 7:07 PM EDT May. 16: Temperat...  #News #Greensboro
314960486;;finalized;20;8/24/13 0:35;Neutral / author is just sharing information;0.6108;;84305178; Looks like t-storm with 60+ mph winds within 30 minutes of downtown #joplin
314960487;;finalized;20;8/24/13 0:17;Positive;0.3445;;79197229;BTW, SkyWarn training last night rocked!  I'm certified!  :0)  Let the storm spotting begin!
314960488;;finalized;20;8/24/13 0:40;Tweet not related to weather condition;0.436;;83255937;Palm Beach County Commission cites Sunshine Law concerns for dumping committee of local leaders.
314960489;;finalized;20;8/24/13 0:42;Neutral / author is just sharing information;0.9573;;82674199;#WEATHER:  6:52 am : 63.0F. Feels F. 29.65% Humidity. 0.0MPH North Wind.
314960490;;finalized;20;8/24/13 0:38;Neutral / author is just sharing information;0.8591;;80054166;#WEATHER: 2:55 pm E: 75.0F. Feels F. 29.96% Humidity. 3.5MPH Northwest Wind.
314960491;;finalized;20;8/24/13 0:38;Positive;0.8276;;82675864;FINALLY! The temp outside is over 70.
314960492;;finalized;20;8/24/13 0:43;Neutral / author is just sharing information;0.3714;;82680063; Congrats OKC is trending. What should be trending is #WatchoutMavs there's about to be a Thunderstorm in Dallas!
314960493;;finalized;20;8/24/13 1:19;Negative;0.4746;;81171736; Freezing! O.o WeLoveSwift
314960494;;finalized;20;8/24/13 0:41;Positive;0.5077;;82838802;Monday mornings, sunshine and planning ahead: Do you plan for the week ahead on Monday morning o...  (Via )
314960495;;finalized;20;8/24/13 0:21;I can't tell;0.3228;;83257628; i'm not laughing at you storm and i don't think it's ignorance, just innocence
